name,category,serial,imei_1,imei_2,asset_id,purchase_date,warranty_end,condition,software_connectivity,company,ram,specs_json
LENOVO THINKPAD,Laptop,N/A,N/A,,,,,Good,Probe,,,
GOUI,Data Cable,N/A,N/A,,,,,Good,N/A,,,
BU-353N5,GPS,N/A,N/A,,,,,Good,Probe,,,
Intel(R) Core(i7)-8650U CPU ,Laptop,N/A,N/A,,,,,Good,Probe &Tems Kit,,,
Huawei P40 40  ,Mobile,860996045268941,860996045288964,,,,,Good,Probe,,,
BU-353N5,GPS,N/A,N/A,,,,,Good,Probe,,,
1,Data Cable,N/A,N/A,,,,,Good,N/A,,,
1,INVERTOR,N/A,N/A,,,,,Good,N/A,,,
1,USB HUB,N/A,N/A,,,,,Good,N/A,,,
DELL latitude 7400,Laptop,N/A,N/A,,,,,Good,Probe,,,
Huawei P40 Pro 5G,Mobile,862849041475804,862849041480804,,,,,Good,Probe,,,
Huawei P40 Pro 5G,Mobile,862849043794699,862849043798690,,,,,Good,Probe,,,
BU-353N5,GPS,N/A,N/A,,,,,Good,N/A,,,
1,Data Cable,N/A,N/A,,,,,Good,N/A,,,
800W,INVERTOR,N/A,N/A,,,,,Good,N/A,,,
SAMSUNG S23,Mobile,358709984625230,359656994625230,,,,,Good,Tems,,,
SAMSUNG S23,Mobile,358709984743538/01,359656994743538/01,,,,,Good,Tems,,,
DELL,Laptop,N/A,N/A,,,,,Good,Probe,,,
BU-353N5,GPS,N/A,N/A,,,,,Good,N/A,,,
1,INVERTOR,N/A,,,,,,Good,N/A,,,
Huawei P40 40  ,Mobile,862849047828352,862849047828436,,,,,Demage,Probe,,,
Huawei P40 40  ,Mobile,862849041387322,862849041392421,,,,,Demage,N/A,,,
THINKPAD,Laptop,N/A,N/A,,,,,Good,N/A,,,
BU-353N5,GPS,N/A,N/A,,,,,Good,N/A,,,
300W,INVERTOR,N/A,N/A,,,,,Good,N/A,,,
SAMSUNG S23,Mobile,358709984740161,359656994740161,,,,,Good,TEMS,,,
1,INVERTOR,N/A,N/A,,,,,Good,N/A,,,
1,OBD,864122050142048,N/A,,,,,Good,N/A,,,
Thinkpad,Laptop,PF-265PBN,N/A,,,,,Good,N/A,,,
BU-353N5,GPS,N/A,N/A,,,,,Good,N/A,,,
SAMSUNG S23,Mobile,358709984678684,359656994678684,,,,,Good,TEMS,,,
Huawei P40 40  ,Mobile,863725043252624,863725043264637,,,,,Good,Prob,,,
DELL Latitude 7400,Laptop,N/A,N/A,,,,,Good,Prob/Tems,,,
BU-353N5,GPS,N/A,N/A,,,,,Good,N/A,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
